MAST_ISSR_NUM	DFLT_DATETIME	COHORT_REENTRY_DATETIME
2755	2001-01-26 00:00:00	2002-03-11 00:00:00
2759	1920-06-18 00:00:00	2999-12-18 00:00:00
2766	2022-03-27 00:00:00	2023-03-26 00:00:00
2777	1984-04-18 00:00:00	1987-03-29 00:00:00
2780	2008-08-05 00:00:00	2009-01-13 00:00:00
2780	2010-09-27 00:00:00	2015-09-26 00:00:00
2796	2008-12-27 00:00:00	2009-01-02 00:00:00
2797	1927-06-02 00:00:00	3000-01-01 00:00:00
2802	1922-11-18 00:00:00	2999-12-17 00:00:00
2818	1922-07-09 00:00:00	1924-07-08 00:00:00
2840	1920-06-29 00:00:00	2999-12-29 00:00:00
2853	2001-03-24 00:00:00	2002-03-23 00:00:00
2855	2011-10-22 00:00:00	2013-03-27 00:00:00
2856	1933-06-25 00:00:00	2999-12-24 00:00:00
2874	1920-06-25 00:00:00	2999-12-25 00:00:00
2875	1932-11-15 00:00:00	3000-01-09 00:00:00
2886	1924-06-29 00:00:00	2999-12-29 00:00:00
2888	1920-06-28 00:00:00	1921-06-28 00:00:00
2898	1974-05-21 00:00:00	2999-12-19 00:00:00
2901	1948-05-20 00:00:00	3000-01-06 00:00:00
2903	2003-07-22 00:00:00	2004-02-10 00:00:00
2906	1934-05-27 00:00:00	2999-12-25 00:00:00
2910	1919-05-09 00:00:00	1920-07-09 00:00:00
2916	1921-11-20 00:00:00	1945-06-30 00:00:00
2922	1919-05-04 00:00:00	3000-01-03 00:00:00
2929	1935-01-15 00:00:00	1937-06-20 00:00:00
2938	2000-11-26 00:00:00	2002-05-13 00:00:00
2945	1920-06-21 00:00:00	1921-06-21 00:00:00
2949	2001-01-10 00:00:00	2002-01-09 00:00:00
2955	1989-01-13 00:00:00	1990-01-12 00:00:00
2968	1921-06-12 00:00:00	3000-01-10 00:00:00
2982	1931-02-01 00:00:00	2999-12-30 00:00:00
2983	1935-12-19 00:00:00	2999-12-17 00:00:00
2987	1988-01-26 00:00:00	1989-02-09 00:00:00
2991	2015-12-01 00:00:00	2016-04-21 00:00:00
2992	2020-02-05 00:00:00	2020-04-28 00:00:00
